Step: 0 | Average Train Loss: 101752.34 | Average Val Loss: 99284.04
Saving checkpoint to
step: 90, loss: 5303.3584 time: 51.26ms, mfu: 0.02%
step: 91, loss: 5218.0098 time: 51.65ms, mfu: 0.02%
step: 92, loss: 4836.0889 time: 51.70ms, mfu: 0.02%
step: 93, loss: 5090.3350 time: 51.11ms, mfu: 0.02%
step: 94, loss: 4932.4580 time: 52.72ms, mfu: 0.02%
step: 95, loss: 4895.3799 time: 56.54ms, mfu: 0.02%
step: 96, loss: 5131.7266 time: 51.63ms, mfu: 0.02%
step: 97, loss: 5107.2373 time: 51.14ms, mfu: 0.02%
step: 98, loss: 5057.5195 time: 51.39ms, mfu: 0.02%
step: 99, loss: 4988.1821 time: 51.62ms, mfu: 0.02%
step: 100, loss: 5139.2959 time: 50.01ms, mfu: 0.02%
step: 101, loss: 5310.9956 time: 50.58ms, mfu: 0.02%
step: 102, loss: 5172.1206 time: 50.34ms, mfu: 0.03%
step: 103, loss: 5209.2744 time: 49.78ms, mfu: 0.03%
step: 104, loss: 4981.3110 time: 49.54ms, mfu: 0.03%
step: 105, loss: 4924.7241 time: 52.35ms, mfu: 0.03%
step: 106, loss: 5100.5854 time: 52.55ms, mfu: 0.03%
step: 107, loss: 5043.5908 time: 50.84ms, mfu: 0.03%
step: 108, loss: 5049.1182 time: 51.14ms, mfu: 0.03%
step: 109, loss: 4895.5190 time: 50.99ms, mfu: 0.03%
step: 110, loss: 5288.0107 time: 51.23ms, mfu: 0.03%
step: 111, loss: 5249.3086 time: 55.89ms, mfu: 0.02%
step: 112, loss: 5126.2896 time: 54.11ms, mfu: 0.02%
step: 113, loss: 4819.6680 time: 50.89ms, mfu: 0.02%
step: 114, loss: 5215.4292 time: 50.35ms, mfu: 0.03%
step: 115, loss: 5100.2998 time: 51.81ms, mfu: 0.02%
step: 116, loss: 4965.5527 time: 51.01ms, mfu: 0.03%
step: 117, loss: 5326.7031 time: 55.17ms, mfu: 0.02%
step: 118, loss: 5219.6265 time: 57.51ms, mfu: 0.02%
step: 119, loss: 5069.2964 time: 55.21ms, mfu: 0.02%
step: 120, loss: 5002.5869 time: 54.14ms, mfu: 0.02%
step: 121, loss: 5316.6621 time: 56.43ms, mfu: 0.02%
step: 122, loss: 4862.0259 time: 55.27ms, mfu: 0.02%
step: 123, loss: 4811.7539 time: 54.23ms, mfu: 0.02%
step: 124, loss: 5158.3164 time: 54.75ms, mfu: 0.02%
step: 125, loss: 5159.4365 time: 57.12ms, mfu: 0.02%
step: 126, loss: 4799.5254 time: 55.60ms, mfu: 0.02%
step: 127, loss: 5321.4600 time: 55.09ms, mfu: 0.02%
step: 128, loss: 5271.8218 time: 52.08ms, mfu: 0.02%
step: 129, loss: 5127.0039 time: 50.32ms, mfu: 0.02%
step: 130, loss: 4980.7222 time: 50.67ms, mfu: 0.02%
step: 131, loss: 5071.0112 time: 50.50ms, mfu: 0.02%
step: 132, loss: 4898.5801 time: 51.12ms, mfu: 0.02%
step: 133, loss: 5185.9873 time: 50.91ms, mfu: 0.02%
step: 134, loss: 5241.4688 time: 55.41ms, mfu: 0.02%
step: 135, loss: 4959.1367 time: 55.54ms, mfu: 0.02%
step: 136, loss: 5034.6167 time: 51.31ms, mfu: 0.02%
step: 137, loss: 5029.7749 time: 51.48ms, mfu: 0.02%
step: 138, loss: 5243.6143 time: 50.51ms, mfu: 0.02%
step: 139, loss: 5008.7056 time: 51.25ms, mfu: 0.02%
step: 140, loss: 5123.2969 time: 49.94ms, mfu: 0.02%
step: 141, loss: 5148.4868 time: 50.93ms, mfu: 0.02%
step: 142, loss: 5260.8516 time: 50.51ms, mfu: 0.02%
step: 143, loss: 5170.1152 time: 49.89ms, mfu: 0.03%
step: 144, loss: 5235.2402 time: 50.15ms, mfu: 0.03%
step: 145, loss: 5000.2021 time: 50.67ms, mfu: 0.03%
step: 146, loss: 4687.1118 time: 51.18ms, mfu: 0.03%
step: 147, loss: 4940.0039 time: 51.09ms, mfu: 0.03%
step: 148, loss: 5214.7236 time: 52.49ms, mfu: 0.03%
step: 149, loss: 5072.2998 time: 52.19ms, mfu: 0.03%
step: 150, loss: 5220.7939 time: 50.33ms, mfu: 0.03%
step: 151, loss: 4922.1841 time: 50.73ms, mfu: 0.03%
step: 152, loss: 5055.8330 time: 51.42ms, mfu: 0.03%
step: 153, loss: 5129.3120 time: 51.34ms, mfu: 0.03%
step: 154, loss: 4826.4526 time: 50.98ms, mfu: 0.03%
step: 155, loss: 5106.3682 time: 51.24ms, mfu: 0.03%
step: 156, loss: 4953.4673 time: 51.67ms, mfu: 0.03%
step: 157, loss: 4944.4409 time: 50.51ms, mfu: 0.03%
step: 158, loss: 5233.1304 time: 53.12ms, mfu: 0.03%
step: 159, loss: 5159.2725 time: 53.23ms, mfu: 0.03%
step: 160, loss: 5273.2378 time: 52.78ms, mfu: 0.02%
step: 161, loss: 5087.3027 time: 53.55ms, mfu: 0.02%
step: 162, loss: 5140.8691 time: 53.79ms, mfu: 0.02%
